14.005000.6, 0.000000.6, -2.499000.6, 0.335000.6, 0.000000.6, 0.942000.6
12.790000.6, 5.704000.6, -2.498000.6, 0.306000.6, 0.136000.6, 0.942000.6
9.373000.6, 10.410000.6, -2.499000.6, 0.224000.6, 0.249000.6, 0.942000.6
4.331000.6, 13.325000.6, -2.500000.6, 0.103000.6, 0.319000.6, 0.942000.6
-1.467000.6, 13.936000.6, -2.501000.6, -0.035000.6, 0.333000.6, 0.942000.6
-7.003000.6, 12.126000.6, -2.497000.6, -0.167000.6, 0.290000.6, 0.942000.6
-11.332000.6, 8.234000.6, -2.499000.6, -0.271000.6, 0.197000.6, 0.942000.6
-13.699000.6, 2.910000.6, -2.498000.6, -0.328000.6, 0.070000.6, 0.942000.6
-13.699000.6, -2.916000.6, -2.498000.6, -0.328000.6, -0.070000.6, 0.942000.6
-11.329000.6, -8.234000.6, -2.499000.6, -0.271000.6, -0.197000.6, 0.942000.6
-7.006000.6, -12.139000.6, -2.502000.6, -0.167000.6, -0.290000.6, 0.942000.6
-1.467000.6, -13.938000.6, -2.503000.6, -0.035000.6, -0.333000.6, 0.942000.6
4.329000.6, -13.328000.6, -2.502000.6, 0.103000.6, -0.319000.6, 0.942000.6
9.374000.6, -10.412000.6, -2.501000.6, 0.224000.6, -0.249000.6, 0.942000.6
12.798000.6, -5.695000.6, -2.500000.6, 0.306000.6, -0.136000.6, 0.942000.6
14.006000.6, 0.001000.6, -2.499000.6, 0.335000.6, 0.000000.6, 0.942000.6
14.916000.6, -0.013000.6, -2.833000.6, 0.353000.6, 0.000000.6, 0.936000.6
13.631000.6, 6.070000.6, -2.834000.6, 0.323000.6, 0.144000.6, 0.936000.6
9.984000.6, 11.084000.6, -2.833000.6, 0.236000.6, 0.262000.6, 0.936000.6
4.611000.6, 14.191000.6, -2.834000.6, 0.109000.6, 0.336000.6, 0.936000.6
-1.562000.6, 14.834000.6, -2.832000.6, -0.037000.6, 0.351000.6, 0.936000.6
-7.462000.6, 12.921000.6, -2.833000.6, -0.177000.6, 0.306000.6, 0.936000.6
-12.079000.6, 8.768000.6, -2.836000.6, -0.286000.6, 0.208000.6, 0.936000.6
-14.594000.6, 3.103000.6, -2.833000.6, -0.345000.6, 0.073000.6, 0.936000.6
-14.594000.6, -3.103000.6, -2.833000.6, -0.345000.6, -0.073000.6, 0.936000.6
-12.072000.6, -8.769000.6, -2.834000.6, -0.286000.6, -0.208000.6, 0.936000.6
-7.464000.6, -12.917000.6, -2.833000.6, -0.177000.6, -0.306000.6, 0.936000.6
-1.563000.6, -14.832000.6, -2.832000.6, -0.037000.6, -0.351000.6, 0.936000.6
4.613000.6, -14.179000.6, -2.831000.6, 0.109000.6, -0.336000.6, 0.936000.6
9.987000.6, -11.083000.6, -2.834000.6, 0.236000.6, -0.262000.6, 0.936000.6
13.629000.6, -6.074000.6, -2.835000.6, 0.323000.6, -0.144000.6, 0.936000.6
14.917000.6, 0.001000.6, -2.833000.6, 0.353000.6, 0.000000.6, 0.936000.6
15.832000.6, -0.011000.6, -3.188000.6, 0.371000.6, 0.000000.6, 0.929000.6
14.466000.6, 6.447000.6, -3.190000.6, 0.339000.6, 0.151000.6, 0.929000.6
10.590000.6, 11.769000.6, -3.188000.6, 0.248000.6, 0.276000.6, 0.929000.6
